OrderID,CustomerID,ProductID,Quantity,OrderDate,SalesRepID
2021010001,1048,270,10,2021-01-09,14
2021010002,1052,264,3,2021-01-19,3
2021010003,1098,233,5,2021-01-27,20
2021010004,1063,292,6,2021-01-28,7
2021010005,1071,300,2,2021-01-07,2
2021010006,1022,201,2,2021-01-27,8
2021010007,1021,260,4,2021-01-23,6
2021010008,1066,230,5,2021-01-11,18
2021010009,1091,280,10,2021-01-20,13
2021010010,1064,265,3,2021-01-16,16
2021010011,1021,265,2,2021-01-28,19
2021010012,1041,205,8,2021-01-28,13
2021010013,1045,256,6,2021-01-08,2
2021010014,1059,211,3,2021-01-10,3
2021010015,1056,295,9,2021-01-08,5
2021010016,1056,253,10,2021-01-01,9
2021010017,1051,256,1,2021-01-12,17
2021010018,1035,233,5,2021-01-12,16
2021010019,1043,243,4,2021-01-03,5
2021010020,1050,212,9,2021-01-14,17
2021010021,1012,207,5,2021-01-15,4
2021010022,1069,210,6,2021-01-03,13
2021010023,1060,230,8,2021-01-06,7
2021010024,1006,213,5,2021-01-07,15
2021010025,1081,295,3,2021-01-12,15
2021010026,1022,252,6,2021-01-15,7
2021010027,1024,246,1,2021-01-03,18
2021010028,1058,200,5,2021-01-24,16
2021010029,1067,232,6,2021-01-01,17
2021010030,1025,297,4,2021-01-27,20
2021010031,1080,209,1,2021-01-17,16
2021010032,1047,251,9,2021-01-15,16
2021010033,1036,256,4,2021-01-19,17
2021010034,1079,218,3,2021-01-18,1
2021010035,1052,209,2,2021-01-15,18
2021010036,1056,255,8,2021-01-22,14
2021010037,1084,261,4,2021-01-12,20
2021010038,1010,204,5,2021-01-16,3
2021010039,1013,216,2,2021-01-03,15
2021010040,1023,284,7,2021-01-12,18
2021010041,1056,279,3,2021-01-03,11
2021010042,1002,230,6,2021-01-11,18
2021010043,1022,208,1,2021-01-07,13
2021010044,1030,282,1,2021-01-14,12
2021010045,1097,274,1,2021-01-14,10
2021010046,1057,215,10,2021-01-12,20
2021010047,1098,266,8,2021-01-11,6
2021010048,1029,208,8,2021-01-12,20
2021010049,1071,297,7,2021-01-21,10
2021010050,1069,240,9,2021-01-11,8
