OrderID,CustomerID,ProductID,Quantity,OrderDate,SalesRepID
2021070001,1001,210,3,06/07/2021,18
2021070002,1047,261,6,12/07/2021,20
2021070003,1064,290,5,11/07/2021,1
2021070004,1082,265,1,05/07/2021,14
2021070005,1009,207,8,20/07/2021,17
2021070006,1071,212,6,03/07/2021,10
2021070007,1086,204,1,11/07/2021,9
2021070008,1067,268,10,04/07/2021,5
2021070009,1071,214,4,07/07/2021,16
2021070010,1071,255,3,09/07/2021,11
2021070011,1059,201,10,24/07/2021,15
2021070012,1044,228,6,12/07/2021,14
2021070013,1067,284,10,01/07/2021,9
2021070014,1069,206,3,11/07/2021,16
2021070015,1024,233,10,22/07/2021,5
2021070016,1100,236,9,25/07/2021,3
2021070017,1008,209,6,19/07/2021,8
2021070018,1064,200,2,09/07/2021,10
2021070019,1006,222,7,02/07/2021,2
2021070020,1071,229,7,19/07/2021,19
2021070021,1092,286,4,06/07/2021,19
2021070022,1077,247,4,13/07/2021,6
2021070023,1041,209,4,15/07/2021,15
2021070024,1022,298,7,05/07/2021,6
2021070025,1032,248,1,25/07/2021,8
2021070026,1057,297,10,21/07/2021,12
2021070027,1093,291,6,01/07/2021,19
2021070028,1049,238,8,17/07/2021,10
2021070029,1093,239,8,21/07/2021,1
2021070030,1071,233,5,22/07/2021,2
2021070031,1037,251,10,15/07/2021,2
2021070032,1041,242,1,09/07/2021,19
2021070033,1083,234,5,04/07/2021,2
2021070034,1011,218,8,02/07/2021,15
2021070035,1012,290,2,09/07/2021,19
2021070036,1092,246,9,23/07/2021,12
2021070037,1034,297,9,22/07/2021,16
2021070038,1098,267,2,21/07/2021,14
2021070039,1095,226,10,19/07/2021,2
2021070040,1038,235,7,24/07/2021,17
2021070041,1093,260,6,10/07/2021,12
2021070042,1007,291,3,18/07/2021,1
2021070043,1076,247,8,10/07/2021,16
2021070044,1002,205,10,17/07/2021,9
2021070045,1046,300,4,16/07/2021,3
2021070046,1053,207,7,12/07/2021,18
2021070047,1033,298,2,15/07/2021,12
2021070048,1013,209,2,20/07/2021,1
2021070049,1061,237,5,23/07/2021,6
2021070050,1001,210,8,21/07/2021,18
